Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
1,Harry Potter and the Deathly Hallows: Part II,7/15/2011 0:00:00,Warner Bros.,Adventure,PG-13,381011219,48046812
2,Transformers: Dark of the Moon,6/29/2011 0:00:00,Paramount Pictures,Action,PG-13,352390543,44437647
3,"The Twilight Saga: Breaking Dawn, Part 1",11/18/2011 0:00:00,Summit Entertainment,Drama,PG-13,275530738,34745364
4,The Hangover Part II,5/26/2011 0:00:00,Warner Bros.,Comedy,R,254464305,32088815
5,Pirates of the Caribbean: On Stranger Tides,5/20/2011 0:00:00,Walt Disney,Adventure,PG-13,241063875,30398975
6,Fast Five,4/29/2011 0:00:00,Universal,Action,PG-13,210031325,26485665
7,Cars 2,6/24/2011 0:00:00,Walt Disney,Adventure,G,191450875,24142607
8,Thor,5/6/2011 0:00:00,Paramount Pictures,Action,PG-13,181030624,22828578
9,Rise of the Planet of the Apes,8/5/2011 0:00:00,20th Century Fox,Adventure,PG-13,176760185,22290061
10,Captain America: The First Avenger,7/22/2011 0:00:00,Paramount Pictures,Action,PG-13,176654505,22276735
11,The Help,8/10/2011 0:00:00,Walt Disney,Drama,PG-13,169499546,21374469
12,Bridesmaids,5/13/2011 0:00:00,Universal,Comedy,R,169211718,21338174
13,Kung Fu Panda 2,5/26/2011 0:00:00,Paramount Pictures,Adventure,PG,165249063,20838469
14,X-Men: First Class,6/3/2011 0:00:00,20th Century Fox,Action,PG-13,146408305,18462586
15,Puss in Boots,10/28/2011 0:00:00,Paramount Pictures,Adventure,PG,145738327,18378099
16,Rio,4/15/2011 0:00:00,20th Century Fox,Adventure,PG,143619809,18110947
17,The Smurfs,7/29/2011 0:00:00,Sony Pictures,Adventure,PG,142614158,17984130
18,Mission: Impossible—Ghost Protocol,12/21/2011 0:00:00,Paramount Pictures,Action,PG-13,141186646,17804117
19,Sherlock Holmes: A Game of Shadows,12/16/2011 0:00:00,Warner Bros.,Action,PG-13,136910219,17264845
20,Super 8,6/10/2011 0:00:00,Paramount Pictures,Thriller/Suspense,PG-13,127004179,16015659
21,Rango,3/4/2011 0:00:00,Paramount Pictures,Adventure,PG,123477607,15570947
22,Horrible Bosses,7/8/2011 0:00:00,Warner Bros.,Comedy,R,117538559,14822012
23,Green Lantern,6/17/2011 0:00:00,Warner Bros.,Action,PG-13,116601172,14703805
24,The King’s Speech,11/26/2010 0:00:00,Weinstein Co.,Drama,R,115865048,14610977
25,The Lion King,6/15/1994 0:00:00,Walt Disney,Adventure,G,109946967,13864686
26,Hop,4/1/2011 0:00:00,Universal,Comedy,PG,108085305,13629925
27,Paranormal Activity 3,10/21/2011 0:00:00,Paramount Pictures,Horror,R,104007828,13115741
28,Just Go With It,2/11/2011 0:00:00,Sony Pictures,Romantic Comedy,PG-13,103028109,12992195
29,Cowboys and Aliens,7/29/2011 0:00:00,Universal,Action,PG-13,100368560,12656817
30,Bad Teacher,6/24/2011 0:00:00,Sony Pictures,Comedy,R,100292856,12647270
31,Gnomeo and Juliet,2/11/2011 0:00:00,Walt Disney,Comedy,G,99967670,12606263
32,The Green Hornet,1/14/2011 0:00:00,Sony Pictures,Action,PG-13,98780042,12456499
33,Alvin and the Chipmunks: Chipwrecked,12/16/2011 0:00:00,20th Century Fox,Comedy,G,97848114,12338980
34,True Grit,12/22/2010 0:00:00,Paramount Pictures,Western,PG-13,84572623,10664896
35,Real Steel,10/7/2011 0:00:00,Walt Disney,Action,PG-13,84493241,10654885
36,"Crazy, Stupid, Love",7/29/2011 0:00:00,Warner Bros.,Comedy,PG-13,84351197,10636973
37,Battle: Los Angeles,3/11/2011 0:00:00,Sony Pictures,Action,PG-13,83552429,10536245
