rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
5229,8/5/2005 0:00:00,My Date With Drew,1100,181041,181041
5228,9/29/2015 0:00:00,A Plague So Pleasant,1400,0,0
5227,9/29/2015 0:00:00,Signed Sealed Delivered,5000,0,0
5226,7/13/2005 0:00:00,Return to the Land of Wonders,5000,1338,1338
5225,4/2/1999 0:00:00,Following,6000,48482,240495
5224,1/1/2004 0:00:00,The Mongol King,7000,900,900
5223,5/26/2006 0:00:00,Cavite,7000,70071,71644
5222,10/8/2004 0:00:00,Primer,7000,424760,841926
5221,2/26/1993 0:00:00,El Mariachi,7000,2040920,2041928
5220,1/13/2012 0:00:00,Newlyweds,9000,4584,4584
5219,5/19/2015 0:00:00,Family Motocross,10000,0,0
5218,8/14/2008 0:00:00,The Rise and Fall of Miss Thang,10000,401,401
5217,4/1/1996 0:00:00,Bang,10000,527,527
5216,5/28/2004 0:00:00,On the Down Low,10000,1987,1987
5215,7/6/2001 0:00:00,Cure,10000,94596,94596
5214,4/28/2006 0:00:00,Clean,10000,138711,138711
5213,3/9/2001 0:00:00,Dayereh,10000,673780,673780
5212,12/31/2007 0:00:00,Tin Can Man,12000,0,0
5211,4/28/2006 0:00:00,Grip: A Criminal's Story,12000,1336,1336
5210,4/11/1997 0:00:00,Pink Flamingos,12000,413802,413802
5209,12/31/2014 0:00:00,Stories of Our Lives,15000,0,0
5208,4/2/2010 0:00:00,Breaking Upwards,15000,115592,115592
5207,6/2/2006 0:00:00,The Puffy Chair,15000,194523,195254
5206,11/25/2011 0:00:00,The Ridges,17300,0,0
5205,4/21/2015 0:00:00,The Front Man,20000,0,0
5204,1/4/2013 0:00:00,All Superheroes Must Die,20000,0,0
5203,12/31/2003 0:00:00,Flywheel,20000,0,0
5202,12/31/2014 0:00:00,Dry Spell,22000,0,0
5201,8/1/1991 0:00:00,Slacker,23000,1227508,1227508
5200,12/1/2015 0:00:00,Dutch Kills,25000,0,0
5199,4/21/2015 0:00:00,Ten,25000,0,0
5198,6/13/2003 0:00:00,Manito,25000,0,0
5197,9/1/2015 0:00:00,Backmask,25000,0,2322
5196,1/14/2000 0:00:00,The Terrorist,25000,195043,195043
5195,8/1/1997 0:00:00,In the Company of Men,25000,2883661,2883661
5194,6/30/1972 0:00:00,Deep Throat,25000,45000000,45000000
5193,12/24/1999 0:00:00,Pink Narcissus,27000,8231,8231
5192,10/19/1994 0:00:00,Clerks,27000,3073428,3894240
5191,12/31/2013 0:00:00,Paraphobia,30000,0,0
5190,10/15/2010 0:00:00,Down Terrace,30000,9812,9812
5189,4/29/2005 0:00:00,Funny Ha Ha,30000,77070,82698
5188,9/1/2006 0:00:00,Mutual Appreciation,30000,103509,103509
5187,7/18/2008 0:00:00,The Legend of God's Gun,30000,243768,243768
5186,12/31/2014 0:00:00,Happy 40th,35000,0,0
5185,10/25/2013 0:00:00,Her Cry: La Llorona Investigation,35000,0,0
5184,7/1/1991 0:00:00,The Last Waltz,35000,321952,321952
5183,2/11/2011 0:00:00,Raymond Did It,40000,3632,3632
5182,3/12/2010 0:00:00,The Exploding Girl,40000,25572,25572
5181,8/25/2000 0:00:00,Smiling Fish and Goat on Fire,40000,277233,277233
5180,6/21/2013 0:00:00,This Is Martin Bonner,42000,0,0
5179,10/27/2000 0:00:00,George Washington,42000,241816,342722
5178,10/25/2013 0:00:00,A True Story,45000,0,0
5177,12/31/2014 0:00:00,The Image Revolution,50000,0,0
5176,9/1/2015 0:00:00,"Run, Hide, Die",50000,0,0
5175,8/4/2015 0:00:00,Bending Steel,50000,0,0
