,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
0,376700.0,Drama,Red Hook Summer,N/A,R,2012-08-10,121
1,158100.0,Foreign,I Wish,N/A,PG,2012-05-11,128
2,64487900.0,Romance,The Lucky One,N/A,PG-13,2012-04-20,101
3,2100.0,Romantic Comedy,"Love, Wedding, Marriage",N/A,PG-13,2011-06-03,90
4,5700.0,Animation,Liar's Autobiography,N/A,Unrated,2012-11-02,85
5,27000.0,Drama,The Keeping Room,N/A,R,2015-09-25,95
6,11216200.0,Foreign,The Intouchables,N/A,R,2012-05-25,112
7,70200.0,Foreign,The Notebook,N/A,R,2014-08-29,109
8,17600.0,Adventure Comedy,Trash,N/A,R,2015-10-09,114
9,9300.0,Romance,B-Side,N/A,Unrated,2015-07-10,98
10,43500.0,Foreign,Khodorkovsky,N/A,Unrated,2011-11-30,111
11,20200.0,Documentary,Watchers of the Sky,N/A,Unrated,2014-10-17,120
12,51100.0,Foreign,Un Flic,N/A,PG,2013-04-19,0
13,60716500.0,Action Comedy,Hansel and Gretel: Witch Hunters,$50 million,R,2013-01-25,88
14,14000.0,Comedy,BoyBand,N/A,Unrated,2013-10-18,98
15,3700.0,Comedy / Drama,The Happy Poet,N/A,Unrated,2013-03-22,85
16,98600.0,Thriller,Byzantium,N/A,R,2013-06-28,118
17,34500.0,Animation,The Hero of Color City,N/A,G,2014-10-03,77
18,56800.0,Comedy,The Ark of Mr. Chow,N/A,Unrated,2015-06-19,106
19,13800.0,Horror,The Hallow,N/A,Unrated,2015-11-06,97
20,15600.0,Documentary,Never Stand Still: Dancing at Jacob's Pillow,N/A,Unrated,2012-05-18,74
21,105209200.0,Drama,Noah,$125 million,PG-13,2014-03-28,138
22,157000.0,Animation,Hell and Back,N/A,R,2015-10-02,84
23,259172200.0,Period Adventure,Pirates of the Caribbean: On Stranger Tides,$250 million,PG-13,2011-05-20,137
24,44768900.0,Family,Max,$20 million,PG,2015-06-26,111
25,377000.0,Comedy / Drama,Drinking Buddies,N/A,R,2013-08-23,90
26,11219200.0,IMAX,Island of Lemurs: Madagascar,N/A,G,2014-04-04,39
27,75200.0,Foreign,Heartbeats,N/A,Unrated,2011-02-25,100
28,112600.0,Foreign,Therese,N/A,Unrated,2013-08-23,110
29,53800.0,Documentary,Mademoiselle C,N/A,R,2013-09-11,93
30,24100.0,Animation,Blue Exorcist The Movie,N/A,Unrated,2013-08-17,88
31,287515700.0,Animation,Monsters University,N/A,G,2013-06-21,107
32,418400.0,Drama,The Apu Trilogy,N/A,Unrated,2015-05-08,0
33,94900.0,Documentary,Pump,N/A,PG,2014-09-19,88
34,169100.0,Documentary,Eames: The Architect and the Painter,N/A,Unrated,2011-11-11,82
35,3400.0,Thriller,Windsor Drive,N/A,Unrated,2015-08-28,83
36,20500.0,Thriller,A Single Shot,N/A,R,2013-09-20,116
37,148400.0,Documentary,Good Ol' Freda,N/A,PG,2013-09-06,86
38,60500.0,Documentary,Finding Joe,N/A,Unrated,2011-09-30,80
39,34742100.0,Action / Adventure,R.I.P.D.,$130 million,PG-13,2013-07-19,96
40,8700.0,Comedy,Eternity the Movie,N/A,Unrated,2014-10-17,91
41,96700.0,Documentary,Exporting Raymond,N/A,PG,2011-04-29,86
42,594500.0,Documentary,Ai Weiwei: Never Sorry,N/A,R,2012-07-27,90
43,993100.0,Documentary,Sholem Aleichem: Laughing in the Darkness,N/A,Unrated,2011-07-08,93
44,14700.0,Documentary,When the Iron Bird Flies,N/A,Unrated,2012-10-19,96
45,1287700.0,Comedy,Goodbye Mr. Loser,N/A,Unrated,2015-10-09,104
46,775300.0,Foreign,Hannah Arendt,N/A,Unrated,2013-05-29,112
47,3600.0,Thriller,Locker 13,N/A,R,2014-03-28,103
48,1293800.0,Thriller,Woman Thou Art Loosed!: On the 7th Day,N/A,PG-13,2012-04-13,101
49,2151400.0,Foreign,Footnote,N/A,PG,2012-03-09,103
50,73312800.0,Comedy,This Is 40,$35 million,R,2012-12-21,133
51,92300.0,Drama,The Eye of the Storm,N/A,Unrated,2012-09-07,119
52,10100.0,Thriller,Welcome to the Punch,N/A,PG-13,2013-03-27,99
53,2720000.0,Foreign,Dabangg 2,N/A,Unrated,2012-12-21,125
54,19800.0,Drama,Cook County,N/A,R,2011-12-16,93
55,79586800.0,Family,Dolphin Tale,$37 million,PG,2011-09-23,112
56,20506100.0,Action / Adventure,The Legend of Hercules,$70 million,PG-13,2014-01-10,99
57,537700.0,Foreign,Gabbar is Back,N/A,Unrated,2015-05-01,128
58,226600.0,Foreign / Action,Ip Man 2: Legend of the Grandmaster,N/A,R,2011-01-28,107
59,148500.0,Foreign,Labios Rojos,N/A,Unrated,2011-10-14,93
60,25387100.0,Comedy,Don Jon,$3 million,R,2013-09-27,90
61,65400.0,Documentary,Becoming Traviata,N/A,Unrated,2013-05-15,120
62,29984900.0,Sports Drama,Draft Day,N/A,PG-13,2014-04-11,110
63,11300.0,Foreign,The Players,N/A,R,2014-04-04,109
64,8800.0,Animation,Gladiators of Rome,N/A,PG,2014-11-11,94
65,10900.0,Drama,1001 Grams,N/A,Unrated,2015-05-08,93
66,182700.0,Documentary,Somm,N/A,Unrated,2013-06-21,93
67,26600.0,Foreign,R100,N/A,Unrated,2015-01-23,94
68,738800.0,Documentary,Cartel Land,N/A,R,2015-07-03,98
69,18500.0,Documentary,Gabo: The Creation of Gabriel Garcia Marquez,N/A,Unrated,2015-10-01,90
70,700.0,Foreign,Illegal,N/A,Unrated,2011-03-25,90
71,449700.0,Drama,The 5th Quarter,N/A,PG-13,2011-03-25,101
72,1800.0,Comedy,They're Out of Business,N/A,Unrated,2011-04-06,89
73,37800.0,Drama,Kindergarten Teacher,N/A,NC-17,2015-07-31,119
74,142600.0,Foreign,The Jewish Cardinal,N/A,Unrated,2014-01-10,96
75,40444000.0,Comedy,The Change-Up,$52 million,R,2011-08-05,101
76,22000.0,Drama,Animals,N/A,Unrated,2015-05-15,90
77,25700.0,Documentary,Greenwich Village: Music That Defined a Generation,N/A,Unrated,2013-01-18,121
78,35400.0,Documentary,Finders Keepers,N/A,R,2015-09-25,82
