,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
0,29000.0,Documentary,No Home Movie,N/A,Unrated,2016-02-18 00:00:00,115
1,3262700.0,Fantasy Drama,The Mermaid,N/A,R,2016-02-19 00:00:00,100
2,29900.0,Action Comedy,For a Few Bullets,N/A,Unrated,2016-07-22 00:00:00,115
3,95726800.0,Animation,Sausage Party,$19 million,R,2016-08-12 00:00:00,89
4,17800.0,Drama,Men Go To Battle,N/A,Unrated,2016-07-08 00:00:00,98
5,13600.0,Drama,Tikkun,N/A,Unrated,2016-06-10 00:00:00,120
6,124100.0,Drama,Sweet Bean,N/A,Unrated,2016-03-18 00:00:00,113
7,55700.0,Drama,The Fallen Idol,N/A,Unrated,2016-05-27 00:00:00,95
8,56400.0,Horror,Demon,N/A,R,2016-09-09 00:00:00,94
9,1322400.0,Horror Thriller,The Neon Demon,N/A,R,2016-06-24 00:00:00,117
10,9177900.0,Action Thriller,Hardcore Henry,N/A,R,2016-04-08 00:00:00,95
11,636800.0,Drama / Thriller,Remember,N/A,R,2016-03-11 00:00:00,95
12,45200.0,Comedy,3 Weeks in Yerevan,N/A,Unrated,2016-09-16 00:00:00,93
13,17400.0,Documentary,Streit's: Matzo and the American Dream,N/A,Unrated,2016-04-20 00:00:00,75
14,28000.0,Drama,Take Me to the River,N/A,Unrated,2016-03-18 00:00:00,84
15,4600.0,Foreign,Sworn Virgin,N/A,Unrated,2016-04-22 00:00:00,90
16,55794100.0,Romance,Me Before You,$20 million,PG-13,2016-06-03 00:00:00,110
17,54679600.0,Horror,The Shallows,$17 million,PG-13,2016-06-24 00:00:00,85
18,21100.0,Drama,"Right Now, Wrong Then",N/A,Unrated,2016-06-24 00:00:00,121
19,163900.0,Documentary,De Palma,N/A,R,2016-06-10 00:00:00,111
20,80200.0,Drama,Les cowboys,N/A,R,2016-06-24 00:00:00,104
21,150400.0,Drama,Rams,N/A,R,2016-02-03 00:00:00,93
22,612200.0,Documentary,City of Gold,N/A,R,2016-03-11 00:00:00,89
23,242100.0,Documentary,"Life, Animated",N/A,Unrated,2016-07-01 00:00:00,89
24,59650900.0,Comedy,My Big Fat Greek Wedding 2,N/A,PG-13,2016-03-25 00:00:00,94
25,29700.0,Documentary,Troublemakers: The Story of Land Art,N/A,Unrated,2016-01-08 00:00:00,72
26,207700.0,Musical,Ho Mann Jahaan,N/A,Unrated,2016-01-01 00:00:00,170
27,20630700.0,Action,Mechanic: Resurrection,N/A,R,2016-08-26 00:00:00,99
28,14590800.0,Action,Criminal,N/A,R,2016-04-15 00:00:00,113
29,34700.0,Thriller,Cock and Bull,N/A,Unrated,2016-09-16 00:00:00,110
30,13100.0,Drama / Thriller,Adderall Diaries,N/A,R,2016-04-15 00:00:00,105
31,4600.0,Documentary,The Ruins of Lifta,N/A,Unrated,2016-09-23 00:00:00,77
32,10000.0,Comedy / Drama,Love Me True,N/A,Unrated,2016-08-12 00:00:00,88
33,66500.0,Action Comedy,Phantom Detective,N/A,Unrated,2016-05-11 00:00:00,125
34,24840000.0,Action Drama,Hell or High Water,$12 million,R,2016-08-12 00:00:00,102
35,70400.0,Documentary,Norman Lear: Just Another Version of You,N/A,Unrated,2016-07-08 00:00:00,91
36,156890900.0,Sci-Fi Adventure,Star Trek Beyond,$185 million,PG-13,2016-07-22 00:00:00,120
37,1015100.0,War Drama,Operation Chromite,N/A,Not Yet Rated,2016-08-05 00:00:00,115
38,1527900.0,Western,Jane Got a Gun,N/A,R,2016-01-29 00:00:00,98
39,466800.0,Comedy,Wiener-Dog,N/A,R,2016-06-24 00:00:00,90
40,3400.0,Drama,Restored Me,N/A,Unrated,2016-09-09 00:00:00,135
41,22800.0,Drama,Goat,N/A,R,2016-09-23 00:00:00,96
42,6221300.0,Documentary,A Beautiful Planet,N/A,G,2016-04-29 00:00:00,45
43,108800.0,Documentary,Zero Days,N/A,PG-13,2016-07-08 00:00:00,114
44,33000.0,Drama,Come What May,N/A,R,2016-09-09 00:00:00,114
45,1733900.0,Comedy,Busco Novio Para Mi Mujer,N/A,PG-13,2016-02-19 00:00:00,92
46,12500.0,Comedy / Drama,City of Women,N/A,R,2016-02-19 00:00:00,139
47,37700.0,Drama,Band of Outsiders,N/A,Unknown,2016-05-06 00:00:00,97
48,139700.0,Animation,Psycho-Pass: The Movie,N/A,Unrated,2016-03-15 00:00:00,113
49,34900.0,Drama,Songs My Brothers Taught Me,N/A,Unrated,2016-03-02 00:00:00,98
50,57100.0,Drama,Sold,N/A,PG-13,2016-04-01 00:00:00,97
51,19000.0,Comedy / Drama,Ktown Cowboys,N/A,R,2016-03-18 00:00:00,83
52,806200.0,Action / Adventure,Dishoom,N/A,Unrated,2016-07-29 00:00:00,124
53,29700.0,Romantic Comedy,The Dog Wedding,N/A,PG-13,2016-03-11 00:00:00,96
54,126419000.0,Comedy,Central Intelligence,$50 million,PG-13,2016-06-17 00:00:00,107
55,55900.0,Drama,Max Rose,N/A,Unrated,2016-09-02 00:00:00,83
56,93600.0,Action Drama,The Fight Within,N/A,PG-13,2016-08-12 00:00:00,94
57,76423600.0,Family Adventure,Alice Through the Looking Glass,$170 million,PG,2016-05-27 00:00:00,112
58,66714100.0,Horror,Lights Out,$4.9 million,PG-13,2016-07-22 00:00:00,81
59,1400.0,War Drama,Hyena Road,N/A,R,2016-03-11 00:00:00,120
60,77100.0,Drama,Victor,N/A,PG-13,2016-09-15 00:00:00,110
61,2165300.0,Documentary,Hillsong - Let Hope Rise,N/A,PG,2016-09-16 00:00:00,103
62,118600.0,Action Thriller,Three,N/A,Unrated,2016-06-24 00:00:00,87
63,50900.0,Documentary,Generation Found,N/A,Unrated,2016-08-29 00:00:00,90
64,34100.0,Animation,Phantom Boy,N/A,PG,2016-07-15 00:00:00,84
65,19246800.0,Comedy,Nine Lives,N/A,PG,2016-08-05 00:00:00,87
66,8500.0,Documentary,Command and Control,N/A,Unrated,2016-09-14 00:00:00,94
67,109500.0,Documentary,Requiem for the American Dream,N/A,Unrated,2016-01-29 00:00:00,73
68,1045800.0,Drama,The Innocents,N/A,PG-13,2016-07-01 00:00:00,115
69,34600.0,Romantic Comedy,Eisenstein in Guanajuato,N/A,Unrated,2016-02-05 00:00:00,105
70,37800.0,Documentary,Germans & Jews,N/A,Unrated,2016-06-10 00:00:00,76
71,96700.0,Drama,Elevator to the Gallows,N/A,Unrated,2016-08-03 00:00:00,91
72,1000.0,Comedy,Klown Forever,N/A,Not Yet Rated,2016-09-02 00:00:00,99
73,20300.0,Drama,The Sea of Trees,N/A,PG-13,2016-08-26 00:00:00,110
74,30200.0,Comedy,Being Charlie,N/A,R,2016-05-06 00:00:00,97
75,32800.0,Comedy,Multiple Maniacs,N/A,Unrated,2016-08-05 00:00:00,96
76,3373900.0,Comedy,Everybody Wants Some!!,N/A,R,2016-03-30 00:00:00,117
77,457000.0,Animation,Only Yesterday,N/A,PG,2016-01-01 00:00:00,118
78,17221600.0,Animation,Norm of the North,N/A,PG,2016-01-15 00:00:00,90
79,19700.0,Documentary,The Seasons in Quincy: Four Portraits of John Berger,N/A,Unrated,2016-08-31 00:00:00,90
80,53800.0,Drama,Diary of a Chambermaid,N/A,Unrated,2016-06-10 00:00:00,96
81,247800.0,Drama,Mia Madre,N/A,R,2016-08-26 00:00:00,107
82,21100.0,Crime Drama,Term Life,N/A,R,2016-04-29 00:00:00,93
83,144900.0,Drama,Krisha,N/A,R,2016-03-18 00:00:00,82
84,7600.0,Documentary,They Will Have to Kill Us First,N/A,Unrated,2016-03-04 00:00:00,105
85,1578400.0,Drama,Neerja,N/A,Unrated,2016-02-19 00:00:00,122
86,621500.0,Comedy,The Bronze,N/A,R,2016-03-18 00:00:00,108
87,2200.0,Drama,Memoria,N/A,R,2016-04-08 00:00:00,70
88,13400.0,Drama,Late Spring,N/A,Unrated,2016-03-04 00:00:00,108
89,2590000.0,Drama,Miles Ahead,N/A,R,2016-04-01 00:00:00,100
90,19289600.0,Drama,Race,N/A,PG-13,2016-02-19 00:00:00,134
91,6200.0,Comedy,Ghost Team,N/A,PG-13,2016-08-12 00:00:00,83
92,2400.0,Documentary,From the East,N/A,Unrated,2016-04-17 00:00:00,110
93,79700.0,Drama,Other People,N/A,Unrated,2016-09-09 00:00:00,97
94,59700.0,Documentary,Presenting Princess Shaw,N/A,Unrated,2016-05-27 00:00:00,80
95,81500.0,Documentary,Vita Activa: The Spirit of Hannah Arendt,N/A,Unrated,2016-04-06 00:00:00,125
96,46847000.0,Fantasy,Warcraft,$160 million,PG-13,2016-06-10 00:00:00,123
97,15600.0,Thriller,Colonia,N/A,R,2016-04-15 00:00:00,110
