,Unnamed: 0,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
0,0,376700.0,Drama,Red Hook Summer,,R,2012-08-10,121
1,1,158100.0,Foreign,I Wish,,PG,2012-05-11,128
2,2,64487900.0,Romance,The Lucky One,,PG-13,2012-04-20,101
3,3,2100.0,Romantic Comedy,"Love, Wedding, Marriage",,PG-13,2011-06-03,90
4,4,5700.0,Animation,Liar's Autobiography,,Unrated,2012-11-02,85
5,5,27000.0,Drama,The Keeping Room,,R,2015-09-25,95
6,6,11216200.0,Foreign,The Intouchables,,R,2012-05-25,112
7,7,70200.0,Foreign,The Notebook,,R,2014-08-29,109
8,8,17600.0,Adventure Comedy,Trash,,R,2015-10-09,114
9,9,9300.0,Romance,B-Side,,Unrated,2015-07-10,98
10,10,43500.0,Foreign,Khodorkovsky,,Unrated,2011-11-30,111
11,11,20200.0,Documentary,Watchers of the Sky,,Unrated,2014-10-17,120
12,12,51100.0,Foreign,Un Flic,,PG,2013-04-19,0
13,13,60716500.0,Action Comedy,Hansel and Gretel: Witch Hunters,$50 million,R,2013-01-25,88
14,14,14000.0,Comedy,BoyBand,,Unrated,2013-10-18,98
15,15,3700.0,Comedy / Drama,The Happy Poet,,Unrated,2013-03-22,85
16,16,98600.0,Thriller,Byzantium,,R,2013-06-28,118
17,17,34500.0,Animation,The Hero of Color City,,G,2014-10-03,77
18,18,56800.0,Comedy,The Ark of Mr. Chow,,Unrated,2015-06-19,106
19,19,13800.0,Horror,The Hallow,,Unrated,2015-11-06,97
20,20,15600.0,Documentary,Never Stand Still: Dancing at Jacob's Pillow,,Unrated,2012-05-18,74
21,21,105209200.0,Drama,Noah,$125 million,PG-13,2014-03-28,138
22,22,157000.0,Animation,Hell and Back,,R,2015-10-02,84
23,23,259172200.0,Period Adventure,Pirates of the Caribbean: On Stranger Tides,$250 million,PG-13,2011-05-20,137
24,24,44768900.0,Family,Max,$20 million,PG,2015-06-26,111
