,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
86,12/31/2020,Singularity,"175,000,000.00",$0,$0
1079,12/31/2020,Hannibal the Conqueror,"50,000,000.00",$0,$0
2428,12/31/2020,"Story of Bonnie and Clyde, The","20,000,000.00",$0,$0
2432,12/31/2017,The Thousand Miles,"20,000,000.00",$0,$0
4357,12/31/2017,Sky Sharks,"2,500,000.00",$0,$0
71,7/21/2017,Valerian and the City of a Thousand Planets,"180,000,000.00",$0,$0
2084,2/24/2017,Tulip Fever,"25,000,000.00",$0,$0
1594,2/3/2017,Rings,"33,000,000.00",$0,$0
2560,2/3/2017,T2: Trainspotting,"18,000,000.00",$0,$0
2085,12/31/2016,Reagan,"25,000,000.00",$0,$0
2195,12/31/2016,The Butterfly God,"22,000,000.00",$0,$0
2430,12/31/2016,The History of Love,"20,000,000.00",$0,$0
3662,12/31/2016,Two Lovers and a Bear,"6,840,000.00",$0,$0
4009,12/31/2016,Airlift (2016),"4,400,000.00",$0,"$9,969,237"
4789,12/31/2016,Chemical Cut,"1,000,000.00",$0,$0
4947,12/31/2016,Crabs!,"500,000.00",$0,$0
153,12/21/2016,Passengers,"150,000,000.00",$0,$0
3545,11/18/2016,A Street Cat Named Bob,"8,000,000.00",$0,$0
1080,11/11/2016,Arrival,"50,000,000.00",$0,$0
248,11/4/2016,Trolls,"120,000,000.00",$0,$0
344,10/21/2016,Jack Reacher: Never Go Back,"96,000,000.00",$0,$0
4387,10/16/2016,Mi America,"2,100,000.00","$3,330","$3,330"
3371,10/7/2016,The Birth of a Nation,"10,000,000.00",$0,$0
114,9/30/2016,Deepwater Horizon,"156,000,000.00",$0,$0
403,9/23/2016,The Magnificent Seven,"90,000,000.00","$41,269,211","$63,160,395"
645,9/23/2016,Storks,"70,000,000.00","$23,509,610","$41,809,610"
1062,9/16/2016,Snowden,"50,000,000.00","$15,949,235","$16,953,959"
1532,9/16/2016,Bridget Jones’s Baby,"35,000,000.00","$17,679,180","$84,779,180"
3253,9/16/2016,Blair Witch,"10,000,000.00","$16,992,132","$21,892,132"
757,9/9/2016,Sully,"60,000,000.00","$94,660,307","$129,160,307"
3234,9/9/2016,When the Bough Breaks,"10,000,000.00","$27,024,503","$27,393,634"
3337,9/9/2016,Kicks,"10,000,000.00","$147,757","$147,757"
2359,9/2/2016,The Light Between Oceans,"20,000,000.00","$12,038,023","$12,471,114"
3510,9/2/2016,Morgan,"8,000,000.00","$3,896,446","$7,296,446"
3939,9/2/2016,Yoga Hosers,"5,000,000.00",$0,"$2,199"
4359,9/2/2016,Antibirth,"2,500,000.00",$0,$0
2393,8/26/2016,Hands of Stone,"20,000,000.00","$4,682,910","$4,682,910"
3195,8/26/2016,Don’t Breathe,"10,000,000.00","$81,789,099","$120,557,284"
3420,8/26/2016,Greater,"9,000,000.00","$1,800,829","$1,800,829"
355,8/19/2016,Ben-Hur,"95,000,000.00","$26,304,821","$86,504,821"
904,8/19/2016,Kubo and the Two Strings,"55,000,000.00","$46,142,397","$58,742,397"
1021,8/19/2016,War Dogs,"50,000,000.00","$42,570,428","$76,870,428"
694,8/12/2016,Pete’s Dragon,"65,000,000.00","$74,339,179","$121,839,179"
1802,8/12/2016,Florence Foster Jenkins,"29,000,000.00","$27,001,097","$44,001,097"
2441,8/12/2016,Sausage Party,"19,000,000.00","$96,500,577","$122,734,591"
77,8/5/2016,Suicide Squad,"175,000,000.00","$318,584,857","$732,184,857"
2992,8/5/2016,Operation Chromite,"12,700,000.00","$1,022,720","$50,012,562"
234,7/29/2016,Jason Bourne,"120,000,000.00","$161,405,875","$398,205,875"
2234,7/29/2016,Bad Moms,"20,000,000.00","$111,868,404","$165,468,404"
2269,7/27/2016,Nerve,"20,000,000.00","$38,485,024","$61,585,024"
64,7/22/2016,Star Trek Beyond,"185,000,000.00","$158,159,027","$335,959,027"
291,7/22/2016,Ice Age: Collision Course,"105,000,000.00","$63,705,069","$403,705,069"
3827,7/22/2016,Lights Out,"5,000,000.00","$67,253,402","$141,853,402"
162,7/15/2016,Ghostbusters,"144,000,000.00","$127,448,192","$228,031,784"
3873,7/15/2016,Hillary’s America: The Secret History of the Democratic Party,"5,000,000.00","$13,086,824","$13,086,824"
1102,7/13/2016,The Infiltrator,"47,500,000.00","$15,425,870","$17,502,424"
544,7/8/2016,The Secret Life of Pets,"75,000,000.00","$364,417,270","$821,017,270"
1584,7/8/2016,Mike and Dave Need Wedding Dates,"33,000,000.00","$45,985,309","$75,885,309"
4494,7/8/2016,The Wrong Side of Right,"2,000,000.00",$0,$0
69,7/1/2016,The Legend of Tarzan,"180,000,000.00","$126,643,061","$349,143,061"
174,7/1/2016,The BFG,"140,000,000.00","$55,378,170","$147,528,170"
3197,7/1/2016,The Purge: Election Year,"10,000,000.00","$79,042,440","$115,342,440"
2431,6/30/2016,Fight Valley,"20,000,000.00",$0,$0
102,6/24/2016,Independence Day: Resurgence,"165,000,000.00","$103,144,286","$387,644,286"
1054,6/24/2016,Free State of Jones,"50,000,000.00","$20,810,036","$21,720,422"
2937,6/24/2016,The Shallows,"13,000,000.00","$55,121,623","$118,372,550"
3564,6/24/2016,The Neon Demon,"7,500,000.00","$1,333,124","$2,374,225"
35,6/17/2016,Finding Dory,"200,000,000.00","$484,221,858","$969,821,858"
972,6/17/2016,Central Intelligence,"50,000,000.00","$127,440,871","$215,140,871"
113,6/10/2016,Warcraft,"160,000,000.00","$47,225,655","$433,125,655"
395,6/10/2016,Now You See Me 2,"90,000,000.00","$65,075,540","$328,675,540"
1244,6/10/2016,The Conjuring 2: The Enfield Poltergeist,"40,000,000.00","$102,470,008","$311,270,008"
189,6/3/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"135,000,000.00","$82,051,601","$244,451,601"
2251,6/3/2016,Me Before You,"20,000,000.00","$56,245,075","$205,445,075"
2368,6/3/2016,Popstar: Never Stop Never Stopping,"20,000,000.00","$9,496,130","$9,537,120"
4151,6/3/2016,Time to Choose,"3,500,000.00","$29,233","$29,233"
73,5/27/2016,X-Men: Apocalypse,"178,000,000.00","$155,442,489","$542,742,489"
96,5/27/2016,Alice Through the Looking Glass,"170,000,000.00","$77,042,381","$277,442,381"
5130,5/24/2016,Une Femme Mariée,"120,000.00",$0,$0
589,5/20/2016,The Angry Birds Movie,"73,000,000.00","$107,509,366","$347,118,767"
1031,5/20/2016,The Nice Guys,"50,000,000.00","$36,261,763","$57,261,763"
1479,5/20/2016,Neighbors 2: Sorority Rising,"35,000,000.00","$55,340,730","$104,444,374"
1873,5/13/2016,Money Monster,"27,000,000.00","$41,012,075","$93,469,699"
11,5/6/2016,Captain America: Civil War,"250,000,000.00","$408,084,349","$1,151,684,349"
3544,5/6/2016,Code of Honor,"8,000,000.00",$0,$0
2764,4/29/2016,Keanu,"15,000,000.00","$20,591,853","$20,609,977"
256,4/22/2016,The Huntsman: Winter’s War,"115,000,000.00","$48,003,015","$164,602,163"
4240,4/22/2016,Compadres,"3,000,000.00","$3,127,773","$7,445,044"
75,4/15/2016,The Jungle Book,"175,000,000.00","$363,998,373","$963,898,373"
1631,4/15/2016,Criminal,"31,500,000.00","$14,708,696","$36,123,895"
2252,4/15/2016,Barbershop: The Next Cut,"20,000,000.00","$54,030,051","$54,402,054"
2555,4/15/2016,I Am Wrath,"18,000,000.00",$0,"$6,784"
3906,4/15/2016,Green Room,"5,000,000.00","$3,220,371","$3,807,503"
1798,4/8/2016,The Boss,"29,000,000.00","$63,077,560","$77,975,209"
4803,4/1/2016,Meet the Blacks,"900,000.00","$9,097,072","$9,097,072"
3299,3/30/2016,Everybody Wants Some,"10,000,000.00","$3,400,278","$4,608,655"
12,3/25/2016,Batman v Superman: Dawn of Justice,"250,000,000.00","$330,360,194","$868,160,194"
2487,3/25/2016,My Big Fat Greek Wedding 2,"18,000,000.00","$59,689,605","$91,651,878"
276,3/18/2016,The Divergent Series: Allegiant,"110,000,000.00","$66,184,051","$171,484,051"
2543,3/18/2016,Midnight Special,"18,000,000.00","$3,712,282","$6,841,142"
2933,3/16/2016,Miracles from Heaven,"13,000,000.00","$61,705,123","$73,746,393"
3952,3/15/2016,The Hatching,"5,000,000.00",$0,$0
1555,3/11/2016,The Brothers Grimsby,"35,000,000.00","$6,864,016","$28,748,384"
2619,3/11/2016,The Young Messiah,"16,800,000.00","$6,469,813","$7,155,967"
2958,3/11/2016,Eye in the Sky,"13,000,000.00","$18,704,596","$32,848,185"
3826,3/11/2016,10 Cloverfield Lane,"5,000,000.00","$72,082,999","$106,582,999"
3885,3/11/2016,The Perfect Match,"5,000,000.00","$9,669,521","$9,669,521"
4748,3/11/2016,Creative Control,"1,000,000.00","$63,014","$63,014"
1793,3/8/2016,Savva. Serdtse voyna,"30,000,000.00",$0,"$172,242"
121,3/4/2016,Zootopia,"150,000,000.00","$341,268,248","$1,021,768,248"
779,3/4/2016,London Has Fallen,"60,000,000.00","$62,524,260","$193,857,962"
1521,3/4/2016,Whiskey Tango Foxtrot,"35,000,000.00","$23,083,334","$24,888,742"
4877,3/4/2016,They Will Have to Kill Us First,"600,000.00",$0,"$7,943"
4787,3/1/2016,1982,"1,000,000.00",$0,$0
175,2/26/2016,Gods of Egypt,"140,000,000.00","$31,153,464","$133,553,464"
2133,2/26/2016,Eddie the Eagle,"23,000,000.00","$15,789,389","$43,145,662"
2354,2/26/2016,Triple 9,"20,000,000.00","$12,639,297","$23,390,380"
740,2/19/2016,Mei Ren Yu,"60,720,000.00","$3,229,457","$552,198,479"
2274,2/19/2016,Risen,"20,000,000.00","$36,880,033","$46,169,871"
2559,2/19/2016,Forsaken,"18,000,000.00",$0,$0
3857,2/19/2016,Race,"5,000,000.00","$19,115,191","$22,178,125"
4129,2/19/2016,The Witch,"3,500,000.00","$25,138,705","$40,454,520"
539,2/12/2016,The Little Prince,"77,500,000.00","$1,311,213","$90,667,633"
844,2/12/2016,Deadpool,"58,000,000.00","$363,070,709","$783,770,709"
1039,2/12/2016,Zoolander 2,"50,000,000.00","$28,848,693","$55,348,693"
1426,2/12/2016,How to be Single,"37,000,000.00","$46,843,513","$99,595,932"
842,2/5/2016,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,"60,000,000.00","$709,982","$194,058,503"
1849,2/5/2016,Pride and Prejudice and Zombies,"28,000,000.00","$10,907,291","$16,311,335"
2167,2/5/2016,"Hail, Caesar!","22,000,000.00","$30,080,225","$64,063,475"
3174,2/5/2016,Misconduct,"11,000,000.00",$0,"$2,071,451"
4360,2/2/2016,The Rise of the Krays,"2,500,000.00",$0,$0
168,1/29/2016,Kung Fu Panda 3,"140,000,000.00","$143,528,619","$518,628,619"
642,1/29/2016,The Finest Hours,"70,000,000.00","$27,569,558","$48,197,252"
2068,1/29/2016,Jane Got a Gun,"25,000,000.00","$1,513,793","$2,962,177"
3879,1/29/2016,Fifty Shades of Black,"5,000,000.00","$11,686,940","$20,765,083"
867,1/22/2016,Monster Hunt,"56,000,000.00","$32,766","$386,096,060"
1402,1/22/2016,The 5th Wave,"38,000,000.00","$34,912,982","$110,678,636"
1446,1/22/2016,Yip Man 3,"36,000,000.00","$2,679,437","$156,835,197"
3126,1/22/2016,Dirty Grandpa,"11,500,000.00","$35,593,113","$99,930,262"
3216,1/22/2016,The Boy,"10,000,000.00","$35,819,556","$68,220,952"
4373,1/19/2016,Eden,"2,300,000.00",$0,$0
4392,1/19/2016,Sharkskin,"2,100,000.00",$0,$0
1006,1/15/2016,13 Hours: The Secret Soldiers of Benghazi,"50,000,000.00","$52,853,219","$68,053,219"
1249,1/15/2016,Ride Along 2,"40,000,000.00","$90,862,685","$124,246,152"
2517,1/15/2016,Norm of the North,"18,000,000.00","$17,062,499","$27,426,111"
3235,1/8/2016,The Forest,"10,000,000.00","$26,594,261","$39,803,818"
4148,1/8/2016,The Masked Saint,"3,500,000.00","$182,695","$182,695"
4849,1/5/2016,Adulterers,"750,000.00",$0,$0
528,12/31/2015,"Don Gato, el inicio de la pandilla","80,000,000.00",$0,"$4,534,791"
1225,12/31/2015,Pourquoi j'ai pas mangé mon père,"42,000,000.00",$0,"$182,156"
1380,12/31/2015,The Crow,"40,000,000.00",$0,$0
2220,12/31/2015,Bitter Harvest,"21,000,000.00",$0,$0
2843,12/31/2015,Chiamatemi Francesco - Il papa della gente,"15,000,000.00",$0,"$3,439,835"
2850,12/31/2015,In Dubious Battle,"15,000,000.00",$0,$0
3122,12/31/2015,San cheng ji,"12,000,000.00",$0,$0
3543,12/31/2015,Henry Joseph Church,"8,000,000.00",$0,$0
3652,12/31/2015,ГЕРОЙ,"7,000,000.00",$0,"$1,390,976"
3950,12/31/2015,Aztec Warrior,"5,000,000.00",$0,$0
4104,12/31/2015,The Veil,"4,000,000.00",$0,$0
4279,12/31/2015,AWOL-72,"3,000,000.00",$0,$0
4287,12/31/2015,Unnatural,"3,000,000.00",$0,$0
4307,12/31/2015,Sardaar Ji,"2,700,000.00",$0,"$8,200,000"
4473,12/31/2015,"To Be Frank, Sinatra at 100","2,000,000.00",$0,$926
4491,12/31/2015,Good Ol' Boy,"2,000,000.00",$0,$0
4493,12/31/2015,Wind Walkers,"2,000,000.00",$0,$0
4508,12/31/2015,Vaalu,"1,900,000.00",$0,"$12,444"
4609,12/31/2015,One Shot,"1,400,000.00",$0,$0
4678,12/31/2015,Departure,"1,100,000.00",$0,"$27,561"
